id,name,num_employees
1,Feil-Farrell,8
2,"Hamill, Kilback and Pfeffer",5
3,Breitenberg Inc,5
4,Kris and Sons,5
5,"Reynolds, Schmitt and Klocko",3
6,Zulauf and Sons,8
7,Bechtelar Inc,4
8,Stamm Inc,2
9,"Quigley, Breitenberg and Schuster",2
10,Kertzmann LLC,11
11,Donnelly-Quigley,7
12,Windler Inc,4
13,"Grady, Hudson and Olson",11
14,Stracke Group,2
15,Hyatt-King,3
16,Homenick-Kuhn,4
17,"Langosh, Krajcik and Langosh",11
18,Von-Hamill,10
19,Labadie-Tremblay,2
20,Ledner Group,7
21,Upton-Bruen,10
22,Runolfsson and Sons,2
23,"Wilderman, Marks and Luettgen",3
24,"Heaney, Schiller and Stehr",7
25,"Veum, Dickinson and Conroy",9
26,Schmitt Group,3
27,Ankunding-Prosacco,10
28,Watsica and Sons,10
29,"White, Smith and Weimann",7
30,"Koelpin, Koelpin and Wintheiser",10
31,Bernhard-Harber,6
32,Jakubowski-Robel,7
33,"Breitenberg, Mante and Glover",2
34,Jacobs-McGlynn,10
35,Runolfsdottir Inc,9
36,Wuckert Inc,4
37,"Gerhold, Reilly and Morissette",9
38,"Marvin, Casper and Krajcik",10
39,Weissnat LLC,11
40,Dickens-Weissnat,1
41,Kessler-Ziemann,1
42,"Tillman, Lockman and Klein",9
43,Cartwright LLC,11
44,"Kassulke, Leannon and Bins",7
45,"Hyatt, Conroy and Ortiz",5
46,Cartwright-VonRueden,3
47,Yost LLC,6
48,Greenfelder Inc,8
49,Tromp Inc,10
50,Shields Inc,3
51,Dicki LLC,4
52,Bayer Inc,3
53,Dibbert Inc,10
54,Parker-Thiel,4
55,"Greenholt, Will and Grant",10
56,Wolf and Sons,3
57,Schimmel and Sons,2
58,Ondricka-Wunsch,1
59,"Hoeger, Hoeger and Grady",10
60,Bosco-Schinner,6
61,"Larson, Mosciski and Murazik",6
62,Grady-Senger,4
63,Reilly-Howell,8
64,Farrell-Altenwerth,4
65,"Schowalter, Runolfsson and Muller",1
66,Emard-Streich,5
67,Eichmann Group,8
68,"Spinka, Russel and Smith",1
69,Bartoletti-Parker,1
70,Renner-Wolff,3
71,Haag-Padberg,3
72,"O'Reilly, Hirthe and Hayes",9
73,Mante Group,6
74,"Howe, Swaniawski and Hand",10
75,"Howell, McCullough and Wisozk",10
76,Gleichner-Hermann,3
77,Hirthe and Sons,3
78,"Murazik, Stoltenberg and Pfannerstill",11
79,Lindgren and Sons,9
80,Spinka Inc,4
81,"Satterfield, Reilly and Hudson",1
82,Purdy-Kerluke,5
83,Goyette Inc,1
84,Kuvalis Inc,7
85,"Kling, Dicki and Murphy",3
86,"Hoeger, Schulist and Medhurst",8
87,"Schumm, Schneider and Schuppe",4
88,Farrell-Davis,5
89,Strosin and Sons,1
90,Gorczany and Sons,3
91,"Ortiz, Beatty and Kulas",8
92,Gerhold Inc,11
93,"Mayer, Streich and Schmeler",11
94,Bahringer-Zieme,8
95,"Bernier, Moen and Torp",1
96,"Moen, Thiel and Osinski",3
97,Davis Group,10
98,"Upton, Stanton and Hyatt",2
99,Harris-Monahan,11
100,"Cormier, Roberts and Volkman",6
101,"Beahan, Stiedemann and Hills",11
102,Stroman-Kihn,5
103,Kunde-DuBuque,11
104,Dickinson-D'Amore,5
